config,group,case_count,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall,mean_latency_ms,p95_latency_ms
normalized_input,question_type:adverse_reaction,8,0.75,1.0,1.0,1.0,0.875,0.375,0.9375,1.0,1.0,0.75,0.625,0.4,0.2,0.2,1.0,231.27358749979976,349.8954799998955
normalized_input,question_type:fact_specific,10,0.4,0.7,0.9,0.9,0.595,0.4,0.7,0.9,0.9,0.4,0.3,0.22000000000000003,0.11000000000000001,0.11000000000000001,0.9,216.35645000069417,273.9357250016383
normalized_input,question_type:monitoring,2,0.5,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.2,0.1,0.1,1.0,172.61724999889339,199.33901499803142
normalized_input,question_type:negative_out_of_scope,0,,,,,,,,,,,,,,,,163.52362727262846,210.67510000057155
normalized_input,question_type:paraphrase,6,0.3333333333333333,0.5,0.5,0.8333333333333334,0.4444444444444444,0.3333333333333333,0.5,0.5,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.10000000000000002,0.08333333333333333,0.08333333333333333,0.8333333333333334,194.66118333396784,212.60285000107615
normalized_input,question_type:preparation,10,0.4,0.8,0.9,1.0,0.625,0.35,0.75,0.85,1.0,0.4,0.3,0.2,0.12000000000000002,0.12000000000000002,1.0,210.9675900000184,306.4151700001275
normalized_input,question_type:procedure,6,0.3333333333333333,1.0,1.0,1.0,0.611111111111111,0.047619047619047616,0.5714285714285714,0.7023809523809524,0.8333333333333334,0.3333333333333333,0.38888888888888884,0.3333333333333333,0.21666666666666667,0.21666666666666667,0.8333333333333334,187.40158571485412,226.78902000143353
normalized_input,question_type:product_specific,18,0.2777777777777778,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.5435185185185185,0.25,0.6666666666666666,0.8055555555555556,0.9444444444444444,0.2777777777777778,0.2962962962962963,0.21111111111111114,0.13333333333333336,0.13333333333333336,0.9444444444444444,175.5689611112656,228.6429800007226
normalized_input,question_type:temporal,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.7101851851851851,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,200.677122222007,282.32479000062085
candidate_aware,diagnostic:colloquial,15,0.5333333333333333,0.8,0.8666666666666667,0.9333333333333333,0.6833333333333333,0.43333333333333335,0.6666666666666666,0.8333333333333334,0.9333333333333333,0.5333333333333333,0.26666666666666666,0.21333333333333335,0.12666666666666668,0.12666666666666668,0.9333333333333333,201.74793333377843,285.7652999999118
candidate_aware,diagnostic:exact_medical_or_product_term,15,0.4666666666666667,0.7333333333333333,0.8,0.8666666666666667,0.6055555555555556,0.4,0.6333333333333333,0.7,0.8666666666666667,0.4666666666666667,0.24444444444444444,0.16000000000000003,0.11333333333333334,0.11333333333333334,0.8666666666666667,180.97461333309184,243.14165999985556
candidate_aware,diagnostic:long_natural_language,3,0.3333333333333333,1.0,1.0,1.0,0.611111111111111,0.047619047619047616,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.3333333333333333,0.3333333333333333,0.20000000000000004,0.13333333333333333,0.13333333333333333,0.7619047619047619,167.01533333252883,210.11496000028274
candidate_aware,diagnostic:numeric_or_time,11,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.5,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.2727272727272727,0.18181818181818182,0.10909090909090911,0.10909090909090911,0.8181818181818182,179.02016363611685,256.4563499995529
candidate_aware,diagnostic:paraphrase,6,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5750000000000001,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8333333333333334,194.671433334103,212.61162500195496
candidate_aware,diagnostic:procedure,6,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.047619047619047616,0.5714285714285714,0.6785714285714285,0.8333333333333334,0.3333333333333333,0.38888888888888884,0.3,0.21666666666666667,0.21666666666666667,0.8333333333333334,187.40587142851186,226.79268000038064
